SiO2,Al2O3,Fe2O3,CaO,Na2O,K2O,MgO,SO3,mid,pii_tid,label,total
18.94,2.91,8.85,40.01,0.0,0.0,5.36,0.35,S0008884610002619_0_2_1_0_BOFS,S0008884610002619_0,[],76.42
22.97,2.08,0.0,53.31,0.0,0.0,7.79,0.44,S0008884610002619_0_3_1_0_EAFS,S0008884610002619_0,[],86.59
19.0,5.8,3.9,65.1,0.3,0.4,1.0,3.7,S0008884610002784_0_1_1_0_Cement,S0008884610002784_0,[],99.2
4.4,0.4,0.2,52.9,0.1,0.1,0.4,0.1,S0008884610002784_0_1_2_0_Limestone,S0008884610002784_0,[],58.6
53.0,13.4,7.5,20.4,1.1,2.1,2.6,0.0,S0008884610002784_0_1_3_0_CAS1N,S0008884610002784_0,[],100.1
51.0,12.4,6.5,17.9,7.8,2.0,2.4,0.0,S0008884610002784_0_1_4_0_CAS9N,S0008884610002784_0,[],100.0
55.2,24.7,8.5,4.7,0.9,1.6,1.8,0.6,S0008884610002784_0_1_5_0_Fly ash,S0008884610002784_0,[0],98.0
21.26,4.09,2.89,63.58,0.0,0.62,2.47,2.79,S0008884611000020_0_1_1_0_Portland cement (OPC),S0008884611000020_0,[],97.7
94.48,0.24,0.63,0.44,0.0,1.01,0.38,0.36,S0008884611000020_0_1_2_0_Silica fume (SF),S0008884611000020_0,[3],97.54
52.01,44.72,0.58,0.0,0.0,0.19,0.0,0.12,S0008884611000020_0_1_3_0_Meta-kaolin (MK),S0008884611000020_0,[1],97.62
36.18,10.02,0.5,35.49,0.0,0.5,0.66,1.51,S0008884611000020_0_1_4_0_Slag (SG),S0008884611000020_0,[2],84.86
53.89,24.65,8.63,4.37,0.0,2.14,0.83,0.61,S0008884611000020_0_1_5_0_Fly ash (FA),S0008884611000020_0,[0],95.12
43.07,20.78,5.41,17.72,0.0,0.75,4.18,2.17,S0008884611000020_0_1_6_0_Fly ash (FA1),S0008884611000020_0,[0],94.08
40.82,11.09,6.21,29.89,0.0,1.71,4.41,2.17,S0008884611000020_0_1_7_0_Fly ash (FA2),S0008884611000020_0,[0],96.29999999999998
20.6,3.6,4.1,65.4,0.2,0.3,0.9,2.7,S0008884611000056_1_1_1_0,S0008884611000056_1,[],97.80000000000004
92.9,0.0,0.0,1.3,1.2,0.6,0.4,3.6,S0008884611000056_1_1_3_0,S0008884611000056_1,[],100.0
0.31646,0.0,0.0,0.26266,0.0,0.0,0.0,0.0,S0008884611000135_0_3_1_0_Tob-I,S0008884611000135_0,[],0.5791200000000001
0.31646,0.0,0.0,0.26266,0.0,0.0,0.0,0.0,S0008884611000135_0_4_1_0_Tob-II,S0008884611000135_0,[],0.5791200000000001
0.20964,0.0,0.0,0.3501,0.0,0.0,0.0,0.0,S0008884611000135_0_5_1_0_Jen-II,S0008884611000135_0,[],0.55974
0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,S0008884611000135_12_1_1_0_TobH,S0008884611000135_12,[],0.5
0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,S0008884611000135_12_2_1_0_T2C,S0008884611000135_12,[],0.5
0.21429,0.0,0.0,0.28571,0.0,0.0,0.0,0.0,S0008884611000135_12_3_1_0_JenH,S0008884611000135_12,[],0.5
0.14286,0.0,0.0,0.35714,0.0,0.0,0.0,0.0,S0008884611000135_12_4_1_0_J2C,S0008884611000135_12,[],0.5
0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,S0008884611000135_2_1_1_0_TobH,S0008884611000135_2,[],0.5
0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,S0008884611000135_2_2_1_0_T5C,S0008884611000135_2,[],0.5
0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,S0008884611000135_2_3_1_0_T2C,S0008884611000135_2,[],0.5
0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,S0008884611000135_3_1_1_0_TobH,S0008884611000135_3,[],0.5
0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,S0008884611000135_3_2_1_0_T5C,S0008884611000135_3,[],0.5
0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,S0008884611000135_3_3_1_0_T2C,S0008884611000135_3,[],0.5
0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.0,S0008884611000135_4_1_1_0_TobH,S0008884611000135_4,[],0.5
0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,S0008884611000135_4_2_1_0_T5C,S0008884611000135_4,[],0.5
0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,S0008884611000135_4_3_1_0_T2C,S0008884611000135_4,[],0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884611000160_0_1_1_0,S0008884611000160_0,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884611000160_0_2_1_0,S0008884611000160_0,[],0.0
96.86,1.18,0.9,0.0,0.04,0.3,0.12,0.0,S0008884611000366_0_1_1_0_Quartz (A),S0008884611000366_0,[],99.40000000000002
96.77,0.98,1.05,0.01,0.05,0.44,0.05,0.0,S0008884611000366_0_1_2_0_Quartz (B),S0008884611000366_0,[],99.35
20.3,5.2,2.6,65.2,0.2,0.4,0.9,3.0,S0008884611000366_1_1_0_0,S0008884611000366_1,[],97.80000000000004
3.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,S000888461100038X_0_1_1_0_G1,S000888461100038X_0,[],3.43
3.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,S000888461100038X_0_2_1_0_G2,S000888461100038X_0,[],3.46
3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,S000888461100038X_0_3_1_0_G3,S000888461100038X_0,[],3.5
21.06,5.77,2.67,63.55,0.26,0.38,1.85,2.28,S0008884611000603_0_2_1_0_This study,S0008884611000603_0,[],97.82
59.1,20.2,8.85,3.36,0.34,1.87,1.17,0.12,S0008884611000603_0_2_2_0_This study,S0008884611000603_0,[],95.01
21.26,5.28,2.82,64.36,0.25,0.41,2.16,1.97,S0008884611000603_0_2_3_0_Warangkana's work [12],S0008884611000603_0,[],98.51
68.94,16.44,3.25,1.58,0.23,1.06,1.05,0.18,S0008884611000603_0_2_4_0_Warangkana's work [12],S0008884611000603_0,[],92.73
20.9,3.2,4.6,65.1,0.1,0.6,0.6,2.76,S0008884611000883_0_2_1_0_C1,S0008884611000883_0,[],97.85999999999996
26.88,9.71,2.91,50.74,0.2,1.06,2.73,2.69,S0008884611000883_0_2_2_0_C2,S0008884611000883_0,[],96.92000000000002
20.1,4.9,3.5,63.6,0.1,1.6,0.0,3.5,S0008884611000883_0_2_3_0_M,S0008884611000883_0,[],97.29999999999998
22.72,5.16,2.33,64.43,0.18,0.44,1.21,2.86,S0008884611000883_0_2_4_0_CP1,S0008884611000883_0,[],99.33
23.44,2.74,2.5,66.2,0.43,0.43,0.8,2.04,S0008884611000883_0_2_5_0_CP2,S0008884611000883_0,[],98.58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884611000883_2_2_1_0,S0008884611000883_2,[],0.0
0.0,0.0,0.0,0.4717,0.0,0.0,0.0,0.4717,S0008884611000883_2_3_1_0,S0008884611000883_2,[],0.9434
0.0,0.38168,0.0,0.1145,0.0,0.0,0.0,0.38168,S0008884611000883_2_4_1_0,S0008884611000883_2,[],0.8778600000000001
22.6,4.1,2.7,59.9,0.0,0.0,2.2,0.0,S0008884611000962_3_2_1_0_Ordinary type,S0008884611000962_3,[],91.5
18.6,13.1,2.5,62.4,0.0,0.0,1.0,0.0,S0008884611000962_3_2_3_0_Rapid hardening type B,S0008884611000962_3,[],97.6
45.1,21.36,4.81,8.74,5.19,1.47,3.49,5.19,S0008884611001037_0_2_1_0,S0008884611001037_0,[],95.35
52.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,S0008884611001037_0_2_2_0,S0008884611001037_0,[],97.0
5.0,32.5,0.0,40.0,0.0,0.1,5.9,0.0,S0008884611001141_0_1_1_0_LFS,S0008884611001141_0,[],83.5
34.2,12.9,0.0,30.2,0.5,0.5,17.3,0.0,S0008884611001141_0_2_1_0_GGBFS,S0008884611001141_0,[2],95.6
0.0,0.0,0.0,35.09,0.0,0.45,0.0,0.0,S0008884611001153_0_1_1_0_Red mud,S0008884611001153_0,[],35.540000000000006
21.19,3.94,2.36,64.87,0.19,0.76,2.37,3.16,S0008884611001189_1_1_1_0_CEM I 52.5 R,S0008884611001189_1,[],98.84000000000002
22.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,S0008884611001256_0_2_0_0,S0008884611001256_0,[],89.0
20.51,4.74,3.95,66.81,0.1,0.31,0.58,1.63,S0008884611001268_0_2_10_0_10,S0008884611001268_0,[],98.63
20.22,4.51,3.82,66.68,0.09,0.34,0.48,1.65,S0008884611001268_0_2_11_0_11,S0008884611001268_0,[],97.79000000000002
20.95,4.63,3.86,67.14,0.1,0.26,0.49,1.27,S0008884611001268_0_2_12_0_12,S0008884611001268_0,[],98.7
20.91,4.75,3.91,67.36,0.09,0.21,0.5,1.28,S0008884611001268_0_2_13_0_13,S0008884611001268_0,[],99.01
20.3,4.65,3.9,65.8,0.11,0.36,0.55,2.45,S0008884611001268_0_2_1_0_1,S0008884611001268_0,[],98.12
20.92,4.62,3.88,66.95,0.11,0.37,0.49,0.69,S0008884611001268_0_2_2_0_2,S0008884611001268_0,[],98.03
20.39,4.73,3.81,66.06,0.09,0.35,0.45,1.73,S0008884611001268_0_2_3_0_3,S0008884611001268_0,[],97.61
20.56,4.84,3.87,66.21,0.09,0.27,0.49,1.52,S0008884611001268_0_2_4_0_4,S0008884611001268_0,[],97.84999999999998
20.42,4.51,3.85,66.94,0.1,0.39,0.5,2.23,S0008884611001268_0_2_5_0_5,S0008884611001268_0,[],98.94
20.76,4.45,4.1,66.9,0.1,0.28,0.52,1.14,S0008884611001268_0_2_6_0_6,S0008884611001268_0,[],98.25
20.49,4.45,3.79,67.19,0.1,0.33,0.5,1.28,S0008884611001268_0_2_7_0_7,S0008884611001268_0,[],98.12999999999998
20.1,4.55,3.7,66.71,0.1,0.33,0.54,2.76,S0008884611001268_0_2_8_0_8,S0008884611001268_0,[],98.79
20.88,4.53,3.89,67.21,0.11,0.26,0.52,1.08,S0008884611001268_0_2_9_0_9,S0008884611001268_0,[],98.48
62.19,15.75,0.59,2.24,3.71,1.46,6.75,0.0,S0008884611001402_0_1_1_0,S0008884611001402_0,[],92.68999999999998
38.2,12.0,1.6,35.8,0.41,1.2,7.7,1.4,S0008884611001414_0_2_1_0_M8,S0008884611001414_0,[],98.31
37.1,11.5,1.8,34.6,0.4,1.1,10.5,1.2,S0008884611001414_0_2_2_0_M11,S0008884611001414_0,[],98.2
36.4,11.3,1.4,33.4,0.52,1.0,13.2,0.36,S0008884611001414_0_2_3_0_M13,S0008884611001414_0,[],97.58
20.23,0.0,0.0,63.29,0.0,0.0,4.2,0.0,S0008884611001578_0_1_1_0,S0008884611001578_0,[],87.72
5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S000888461100158X_0_2_1_0_CS32-30,S000888461100158X_0,[],5.01
14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S000888461100158X_0_3_1_0_CS11-15,S000888461100158X_0,[],14.05
14.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S000888461100158X_0_4_1_0_CS11-30,S000888461100158X_0,[],14.05
21.58,4.67,2.66,61.79,0.0,0.0,2.48,2.85,S0008884611001694_4_1_1_0_Cement,S0008884611001694_4,[],96.03
90.0,0.0,0.59,1.95,0.0,0.0,0.27,0.3,S0008884611001694_4_2_1_0_Silica fume,S0008884611001694_4,[3],93.11
47.96,37.72,4.58,3.24,0.0,0.0,0.88,0.24,S0008884611001694_4_3_1_0_Fly ash,S0008884611001694_4,[0],94.62
32.18,14.64,0.54,36.9,0.0,0.0,9.64,1.66,S0008884611001694_4_4_1_0_Slag powder,S0008884611001694_4,[2],95.56
19.0,4.5,3.1,62.6,0.21,0.82,2.2,3.3,S0008884611001840_2_1_1_0_Cement N,S0008884611001840_2,[],95.73
17.9,4.3,5.9,59.8,0.59,0.82,2.4,3.1,S0008884611001840_2_2_1_0_Cement HS,S0008884611001840_2,[],94.81
0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,S0008884611001943_0_3_1_0,S0008884611001943_0,[],1.0
0.0,0.16667,0.16667,0.66667,0.0,0.0,0.0,0.0,S0008884611001943_0_3_10_0,S0008884611001943_0,[],1.00001
0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,S0008884611001943_0_3_2_0,S0008884611001943_0,[],1.0
0.33333,0.0,0.0,0.66667,0.0,0.0,0.0,0.0,S0008884611001943_0_3_3_0,S0008884611001943_0,[],1.0
0.33333,0.0,0.0,0.66667,0.0,0.0,0.0,0.0,S0008884611001943_0_3_4_0,S0008884611001943_0,[],1.0
0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,S0008884611001943_0_3_5_0,S0008884611001943_0,[],1.0
0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,S0008884611001943_0_3_6_0,S0008884611001943_0,[],1.0
0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,S0008884611001943_0_3_7_0,S0008884611001943_0,[],1.0
0.0,0.16667,0.16667,0.66667,0.0,0.0,0.0,0.0,S0008884611001943_0_3_8_0,S0008884611001943_0,[],1.00001
0.0,0.16667,0.16667,0.66667,0.0,0.0,0.0,0.0,S0008884611001943_0_3_9_0,S0008884611001943_0,[],1.00001
21.16,4.24,3.07,64.39,0.1,0.66,3.07,2.63,S0008884611001955_0_2_1_0,S0008884611001955_0,[],99.31999999999998
36.5,8.54,0.83,41.1,0.29,0.44,9.63,0.6,S0008884611001955_0_3_1_0,S0008884611001955_0,[],97.93
4.6,0.4,0.0,93.3,0.0,0.0,0.5,1.2,S0008884611001967_4_1_1_0_Fig. 10,S0008884611001967_4,[],100.0
5.8,1.5,0.4,86.4,0.0,0.6,3.8,1.5,S0008884611001967_4_1_2_0_Fig. 11,S0008884611001967_4,[],100.0
24.4,3.3,0.4,64.1,0.0,0.7,1.0,6.1,S0008884611001967_4_1_3_0_Fig. 12,S0008884611001967_4,[],100.0
21.2,9.7,1.2,54.0,0.0,0.5,2.8,10.5,S0008884611001967_4_1_4_0_Fig. 13,S0008884611001967_4,[],99.9
2.3,0.2,0.0,95.6,0.0,0.4,0.0,1.6,S0008884611001967_6_1_1_0_Fig. 18,S0008884611001967_6,[],100.1
15.0,1.4,0.7,78.4,0.0,1.8,0.0,2.7,S0008884611001967_6_1_2_0_Fig. 19,S0008884611001967_6,[],100.0
22.98,4.73,2.72,68.07,0.0,0.69,0.8,0.0,S0008884611002067_1_1_1_0,S0008884611002067_1,[],99.99
7.0,20.0,3.0,0.0,0.0,0.0,4.0,0.0,S0008884611002092_0_2_3_0,S0008884611002092_0,[],34.0
41.6,7.0,1.3,39.1,0.5,0.6,7.2,1.3,S0008884611002274_0_1_1_0_A7,S0008884611002274_0,[],98.6
38.2,14.1,1.4,36.0,0.5,0.6,6.6,1.2,S0008884611002274_0_1_2_0_A14,S0008884611002274_0,[],98.6
37.2,16.7,1.4,35.0,0.5,0.5,6.4,1.0,S0008884611002274_0_1_3_0_A17,S0008884611002274_0,[],98.70000000000002
59.73,18.39,3.96,0.79,2.32,0.13,0.0,0.0,S0008884611002341_2_1_1_0,S0008884611002341_2,[],85.32
21.2,4.4,3.9,65.5,0.0,0.6,1.2,2.5,S0008884611002535_0_3_1_0_TypeV,S0008884611002535_0,[],99.3
21.9,5.2,3.1,64.4,0.2,0.4,1.4,1.7,S0008884611002535_0_3_2_0_OPC,S0008884611002535_0,[],98.30000000000004
34.3,15.2,0.5,42.8,0.2,0.3,5.9,0.1,S0008884611002535_0_3_3_0_SL,S0008884611002535_0,[],99.3
35.0,10.7,0.5,35.9,0.4,0.5,11.7,3.4,S0008884611002535_0_3_4_0_lowSL,S0008884611002535_0,[],98.1
0.3,0.1,0.1,55.6,0.0,0.0,0.2,0.0,S0008884611002535_0_3_5_0_Limestone filler,S0008884611002535_0,[],56.3
0.5,0.2,0.1,40.8,0.0,0.0,0.0,57.5,S0008884611002535_0_3_6_0_Anhydrite,S0008884611002535_0,[],99.1
1.7,0.8,0.2,32.3,0.0,0.2,0.1,44.0,S0008884611002535_0_3_7_0_Gypsum,S0008884611002535_0,[],79.30000000000001
18.84,5.39,3.79,62.21,0.0,0.0,0.86,3.06,S0008884611002547_1_1_1_0_OPC (I),S0008884611002547_1,[],94.15
18.73,4.94,3.99,63.12,0.0,0.0,1.02,3.07,S0008884611002547_1_1_2_0_OPC (II),S0008884611002547_1,[],94.87
18.9,5.74,4.31,63.37,0.47,0.73,0.89,3.34,S0008884611002547_1_1_3_0_OPC (III),S0008884611002547_1,[],97.75
34.35,11.36,0.48,40.38,0.29,0.37,7.57,1.65,S0008884611002547_1_1_4_0_BFS (I),S0008884611002547_1,[2],96.45000000000002
33.86,8.91,0.69,42.64,0.28,0.52,7.39,1.62,S0008884611002547_1_1_5_0_BFS (II),S0008884611002547_1,[2],95.91
36.37,9.83,0.26,41.24,0.28,0.41,7.41,1.62,S0008884611002547_1_1_6_0_BFS (III),S0008884611002547_1,[2],97.42
19.8,4.9,2.0,63.1,0.85,0.0,2.0,3.8,S0008884611002559_0_2_0_0,S0008884611002559_0,[],96.45
19.24,5.43,2.36,60.94,0.22,1.11,2.34,4.11,S0008884611002560_0_1_1_0,S0008884611002560_0,[],95.75
37.24,8.7,0.35,37.94,0.43,0.43,11.36,2.68,S0008884611002560_0_1_2_0,S0008884611002560_0,[],99.13
18.4,3.1,0.16,58.1,0.0,0.0,0.0,0.0,S0008884611002638_6_2_1_0_Hewlett [28],S0008884611002638_6,[],79.76
18.89,5.51,2.55,62.38,0.0,0.0,0.0,4.12,S0008884611002638_7_2_1_0_OPC 1,S0008884611002638_7,[],93.45
18.43,5.36,2.64,61.33,0.0,0.0,0.0,4.43,S0008884611002638_7_2_2_0_OPC 2,S0008884611002638_7,[],92.19
21.26,4.09,2.89,63.58,0.0,0.0,0.0,2.79,S0008884611002638_7_2_3_0_OPC 3,S0008884611002638_7,[],94.61
19.9,5.3,2.8,62.1,0.0,0.0,0.0,3.5,S0008884611002638_7_2_4_0_OPC 4,S0008884611002638_7,[],93.6
19.6,4.9,2.27,62.5,0.24,0.9,2.61,0.0,S000888461100264X_0_1_1_0_GU,S000888461100264X_0,[],93.02
51.65,44.7,0.68,0.03,0.08,0.34,0.08,0.0,S000888461100264X_0_2_1_0_MK,S000888461100264X_0,[1],97.56
36.77,7.77,0.85,37.31,0.31,0.43,13.91,0.0,S000888461100264X_0_3_1_0_GBFS,S000888461100264X_0,[2],97.35000000000002
26.01,12.86,1.95,50.01,0.21,0.79,2.1,0.0,S000888461100264X_0_4_1_0_MK-20,S000888461100264X_0,[1],93.93
33.34,7.2,1.13,42.35,0.3,0.52,11.65,0.0,S000888461100264X_0_5_1_0_GBFS-80,S000888461100264X_0,[2],96.49
34.94,11.69,0.0,40.89,0.16,0.34,0.0,0.0,S0008884611002717_0_1_2_0_GGBS,S0008884611002717_0,[2],88.02
20.52,5.75,0.0,62.87,0.08,1.34,1.62,3.87,S0008884611002857_0_1_1_0_Type I,S0008884611002857_0,[],96.05
19.87,6.11,4.46,64.73,0.1,0.66,1.06,2.79,S0008884611002870_0_2_0_0,S0008884611002870_0,[],99.78
24.68,2.11,0.43,68.67,0.17,0.06,0.58,1.82,S000888461100295X_0_1_1_0_Cement A,S000888461100295X_0,[],98.52
20.51,5.1,3.33,61.29,0.24,1.4,2.82,2.78,S000888461100295X_0_1_2_0_Cement B,S000888461100295X_0,[],97.46999999999998
21.01,4.63,2.6,64.18,0.2,0.94,1.82,2.78,S000888461100295X_0_1_3_0_Cement C,S000888461100295X_0,[],98.16
36.61,12.21,0.85,41.59,0.18,0.28,7.18,0.63,S000888461100295X_0_1_4_0_Slag 1,S000888461100295X_0,[2],99.53
34.6,19.98,0.47,32.48,0.16,0.78,9.17,1.99,S000888461100295X_0_1_5_0_Slag 8,S000888461100295X_0,[2],99.63
0.4,0.2,0.1,0.4,0.03,0.04,0.1,0.1,S000888461100295X_0_1_6_0_Error,S000888461100295X_0,[],1.3700000000000003
19.6,4.9,2.27,62.5,0.24,0.9,2.61,2.57,S0008884611002985_0_1_1_0_OPC,S0008884611002985_0,[],95.59
51.65,44.7,0.68,0.03,0.08,0.34,0.08,0.0,S0008884611002985_0_2_1_0_MK,S0008884611002985_0,[1],97.56
36.77,7.77,0.85,37.31,0.31,0.43,13.91,0.0,S0008884611002985_0_3_1_0_GBFS,S0008884611002985_0,[2],97.35000000000002
20.17,4.88,3.47,63.38,0.0,0.0,1.2,3.48,S0008884611003048_0_2_1_0,S0008884611003048_0,[],96.58
0.19,0.1,0.1,0.1,0.0,0.0,0.46,0.1,S0008884611003048_0_2_2_0,S0008884611003048_0,[],1.05
19.4,0.0,2.7,61.9,0.2,0.6,1.1,3.0,S0008884611003255_0_2_1_0,S0008884611003255_0,[],88.89999999999999
45.0,0.0,7.0,1.0,0.8,1.0,1.0,0.3,S0008884611003255_0_2_2_0,S0008884611003255_0,[],56.1
23.02,4.93,3.7,60.41,0.51,0.6,2.79,2.46,S0008884612000026_2_2_3_0_CEM II/A-S 42.5N,S0008884612000026_2,[],98.42
32.27,0.0,0.0,63.58,0.0,0.0,0.0,0.0,S0008884612000075_0_10_1_0,S0008884612000075_0,[],95.85
30.9,0.0,0.0,62.78,0.0,0.0,0.0,0.0,S0008884612000075_0_11_1_0,S0008884612000075_0,[],93.68
29.5,0.0,0.0,61.95,0.0,0.0,0.0,0.0,S0008884612000075_0_12_1_0,S0008884612000075_0,[],91.45
34.26,0.0,0.0,64.78,0.45,0.0,0.0,0.0,S0008884612000075_0_13_1_0,S0008884612000075_0,[],99.49
33.63,0.0,0.0,64.43,0.91,0.0,0.0,0.0,S0008884612000075_0_14_1_0,S0008884612000075_0,[],98.97
32.34,0.0,0.0,63.72,1.85,0.0,0.0,0.0,S0008884612000075_0_15_1_0,S0008884612000075_0,[],97.91
31.01,0.0,0.0,63.0,2.82,0.0,0.0,0.0,S0008884612000075_0_16_1_0,S0008884612000075_0,[],96.83
29.64,0.0,0.0,62.24,3.82,0.0,0.0,0.0,S0008884612000075_0_17_1_0,S0008884612000075_0,[],95.7
28.23,0.0,0.0,61.47,4.85,0.0,0.0,0.0,S0008884612000075_0_18_1_0,S0008884612000075_0,[],94.55
34.48,0.0,0.0,63.53,0.46,0.0,0.0,0.0,S0008884612000075_0_19_1_0,S0008884612000075_0,[],98.46999999999998
34.88,0.0,0.0,65.12,0.0,0.0,0.0,0.0,S0008884612000075_0_1_1_0,S0008884612000075_0,[],100.0
34.06,0.0,0.0,61.9,0.92,0.0,0.0,0.0,S0008884612000075_0_20_1_0,S0008884612000075_0,[],96.88
33.18,0.0,0.0,58.51,1.9,0.0,0.0,0.0,S0008884612000075_0_21_1_0,S0008884612000075_0,[],93.59
34.28,0.0,0.0,65.22,0.0,0.0,0.0,0.0,S0008884612000075_0_2_1_0,S0008884612000075_0,[],99.5
32.4,0.0,0.0,65.52,0.0,0.0,0.0,0.0,S0008884612000075_0_3_1_0,S0008884612000075_0,[],97.92
34.14,0.0,0.0,65.36,0.0,0.0,0.0,0.0,S0008884612000075_0_4_1_0,S0008884612000075_0,[],99.5
31.86,0.0,0.0,66.09,0.0,0.0,0.0,0.0,S0008884612000075_0_5_1_0,S0008884612000075_0,[],97.95
34.56,0.0,0.0,64.93,0.0,0.0,0.0,0.0,S0008884612000075_0_6_1_0,S0008884612000075_0,[],99.49
34.4,0.0,0.0,64.83,0.0,0.0,0.0,0.0,S0008884612000075_0_7_1_0,S0008884612000075_0,[],99.23
34.24,0.0,0.0,64.74,0.0,0.0,0.0,0.0,S0008884612000075_0_8_1_0,S0008884612000075_0,[],98.98
33.59,0.0,0.0,64.36,0.0,0.0,0.0,0.0,S0008884612000075_0_9_1_0,S0008884612000075_0,[],97.95
20.15,4.49,2.29,62.04,0.27,1.03,2.41,2.81,S000888461200018X_0_2_1_0_Portland cement 1 (PC1),S000888461200018X_0,[],95.49
24.57,2.05,0.33,67.69,0.2,0.1,0.58,1.91,S000888461200018X_0_2_2_0_Portland cement 2 (PC2),S000888461200018X_0,[],97.43
32.39,8.52,0.53,46.4,0.29,0.44,6.12,1.54,S000888461200018X_0_2_3_0_Microfine binder (MF),S000888461200018X_0,[],96.23000000000002
51.41,25.62,6.69,4.69,0.83,3.95,1.92,0.99,S000888461200018X_0_2_5_0_Fly ash (FA),S000888461200018X_0,[0],96.1
40.19,18.69,5.15,20.6,3.4,0.72,5.69,1.01,S0008884612000191_0_3_1_0,S0008884612000191_0,[],95.45
33.2,26.26,4.25,17.02,9.39,0.59,4.7,0.83,S0008884612000191_0_3_2_0,S0008884612000191_0,[],96.24
27.69,17.32,5.62,30.28,3.24,0.35,8.39,2.32,S0008884612000191_0_3_3_0,S0008884612000191_0,[],95.20999999999998
24.92,21.81,5.06,27.25,6.7,0.31,7.55,2.09,S0008884612000191_0_3_4_0,S0008884612000191_0,[],95.69
28.21,6.98,0.0,52.94,0.14,0.33,0.0,0.0,S000888461200021X_0_1_1_0_Sample A1 60% cement+40% ground granulated blast furnace slag,S000888461200021X_0,[2],88.6
31.0,9.41,0.0,48.53,0.32,0.34,0.0,0.0,S000888461200021X_0_1_2_0_Sample A2 34% cement+66% ground granulated blast furnace slag,S000888461200021X_0,[2],89.6
40.75,11.94,3.32,33.51,0.22,1.01,6.01,0.0,S000888461200021X_1_1_1_0_Sample B1 30% cement+40% ground granulated blast furnace slag+23% fly ash+7% silica fume,S000888461200021X_1,"[0, 2, 3]",96.76
38.57,13.59,3.01,33.49,0.25,0.99,7.01,0.0,S000888461200021X_1_1_2_0_Sample B2 23% cement+52% ground granulated blast furnace slag+25% fly ash,S000888461200021X_1,"[0, 2]",96.91
32.89,10.89,2.9,40.49,0.29,1.03,5.64,0.0,S000888461200021X_1_1_3_0_Sample B3 48% cement+32% ground granulated blast furnace slag+20% fly ash,S000888461200021X_1,"[0, 2]",94.13
58.1,32.0,3.7,0.9,0.8,3.1,1.4,0.04,S0008884612000385_3_2_1_0,S0008884612000385_3,[],100.04
28.3,1.2,0.0,51.5,0.0,0.0,11.3,0.0,S0008884612000440_0_1_1_0_LM slag,S0008884612000440_0,[2],92.3
31.7,1.2,0.0,55.6,0.0,0.0,9.8,0.0,S0008884612000440_0_1_2_0_AOD slag,S0008884612000440_0,[2],98.3
19.24,5.43,2.36,60.94,0.22,1.11,2.34,4.11,S0008884612000452_0_1_1_0,S0008884612000452_0,[],95.75
22.0,3.3,2.74,66.9,0.2,0.05,0.6,0.0,S0008884612000622_1_1_2_0_CEM I,S0008884612000622_1,[],95.79
6.52,33.64,0.89,41.59,0.09,0.39,0.68,13.97,S0008884612000713_1_1_1_0_ALIPRE(r),S0008884612000713_1,[],97.77
8.21,33.85,2.37,41.86,0.08,0.25,2.73,8.81,S0008884612000713_1_1_2_0_BELITH_CS10,S0008884612000713_1,[],98.16
9.0,27.3,2.6,44.1,1.4,0.3,1.5,12.2,S0008884612000713_1_1_3_0_S.A.cement,S0008884612000713_1,[],98.4
10.13,20.93,3.63,45.59,0.18,0.31,1.26,16.66,S0008884612000713_1_1_4_0_CSA_trial,S0008884612000713_1,[],98.69
16.7,18.78,6.72,51.75,0.1,0.34,0.99,3.68,S0008884612000713_1_1_5_0_BCSAF_B0,S0008884612000713_1,[],99.06
16.53,17.03,6.28,50.99,1.0,0.33,0.97,3.7,S0008884612000713_1_1_6_0_BCSAF_B2,S0008884612000713_1,[],96.83
