SiO2,Al2O3,Fe2O3,CaO,Na2O,K2O,MgO,SO3,mid,pii_tid,label,total
19.9,4.6,2.7,61.9,0.3,1.0,2.4,2.9,S0008884601005324_0_3_1_0_PZ-375-EZ,S0008884601005324_0,[],95.7
21.2,3.2,4.8,63.1,0.0,0.0,1.4,2.4,S0008884601005324_0_3_3_0_HS-cement,S0008884601005324_0,[],96.1
17.7,25.4,0.0,55.6,0.0,0.0,0.0,0.0,S0008884601005373_2_1_1_0_S-1,S0008884601005373_2,[],98.7
13.0,33.2,0.0,52.7,0.0,0.0,0.0,0.0,S0008884601005373_2_1_2_0_S-2,S0008884601005373_2,[],98.9
9.6,38.4,0.0,50.8,0.0,0.0,0.0,0.0,S0008884601005373_2_1_3_0_S-3,S0008884601005373_2,[],98.8
7.8,40.4,0.0,50.6,0.0,0.0,0.0,0.0,S0008884601005373_2_1_4_0_S-4,S0008884601005373_2,[],98.8
7.42,40.5,0.0,50.9,0.0,0.0,0.0,0.0,S0008884601005373_2_1_5_0_S-5,S0008884601005373_2,[],98.82
6.9,41.3,0.0,50.9,0.0,0.0,0.0,0.0,S0008884601005373_2_1_6_0_S-6,S0008884601005373_2,[],99.1
6.23,42.0,0.0,50.6,0.0,0.0,0.0,0.0,S0008884601005373_2_1_7_0_S-7,S0008884601005373_2,[],98.83
19.95,4.71,2.9,60.58,0.0,0.0,1.41,0.0,S0008884601005397_0_2_1_0_Cement,S0008884601005397_0,[],89.55
20.1,6.1,2.2,64.1,0.22,1.48,1.37,3.68,S0008884601005452_0_1_1_0,S0008884601005452_0,[],99.25
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_10_2_0_10,S0008884601005452_2,[],15.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_1_2_0_1,S0008884601005452_2,[],15.0
0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_2_2_0_2,S0008884601005452_2,[],30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_3_2_0_3,S0008884601005452_2,[],0.0
0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_4_2_0_4,S0008884601005452_2,[],30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_5_2_0_5,S0008884601005452_2,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_6_2_0_6,S0008884601005452_2,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_7_2_0_7,S0008884601005452_2,[],0.0
0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_8_2_0_8,S0008884601005452_2,[],30.0
0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,S0008884601005452_2_9_2_0_9,S0008884601005452_2,[],30.0
18.73,0.0,2.62,0.0,0.23,1.0,0.0,2.96,S000888460100549X_0_2_0_0,S000888460100549X_0,[],25.540000000000003
160.0,0.0,26.3,0.0,27.8,33.8,0.0,13.2,S000888460100549X_0_7_0_0,S000888460100549X_0,[],261.1
51.2,28.1,5.8,3.7,0.71,0.0,1.2,0.3,S0008884601005592_1_1_1_0,S0008884601005592_1,[],91.01
32.46,13.61,0.97,45.65,0.0,0.0,4.29,0.0,S0008884601005609_0_2_1_0,S0008884601005609_0,[],96.98
72.5,10.08,1.35,1.36,0.0,0.0,0.39,0.0,S0008884601005609_0_3_1_0,S0008884601005609_0,[],85.67999999999999
20.73,5.29,3.07,63.25,0.0,0.0,2.6,2.55,S0008884601005610_1_1_1_0_OPC,S0008884601005610_1,[],97.49
32.96,12.17,1.83,41.64,0.0,0.0,2.16,4.25,S0008884601005610_1_2_1_0_Slag,S0008884601005610_1,[2],95.01
22.17,5.43,3.16,60.87,0.07,1.1,1.67,2.3,S0008884601005634_0_1_1_0_Portland cement,S0008884601005634_0,[],96.76999999999998
23.93,12.55,1.65,19.59,0.11,0.73,2.4,31.75,S0008884601005634_0_2_1_0_UEA,S0008884601005634_0,[],92.71
22.2,3.6,4.4,63.8,0.0,0.0,2.1,2.2,S0008884601005646_0_17_1_0_OPC 42.5,S0008884601005646_0,[],98.3
20.49,6.57,3.27,62.4,0.0,0.0,1.91,0.0,S000888460100566X_2_1_1_0_Cement,S000888460100566X_2,[],94.64
34.81,13.63,0.32,40.51,0.0,0.0,6.96,0.0,S000888460100566X_2_3_1_0_GGBS,S000888460100566X_2,[2],96.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005695_3_3_1_0,S0008884601005695_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005695_3_4_1_0,S0008884601005695_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005695_3_7_1_0,S0008884601005695_3,[],0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S0008884601005695_3_8_1_0,S0008884601005695_3,[],0.0
49.1,30.3,13.7,2.6,0.4,0.0,0.0,0.5,S0008884601005713_0_1_0_0,S0008884601005713_0,[],96.6
26.52,0.0,0.0,0.0,16.12,0.0,0.0,0.0,S0008884601005713_1_1_0_0,S0008884601005713_1,[],42.64
0.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,S0008884601005725_0_1_2_0,S0008884601005725_0,[],48.0
23.04,10.45,5.1,49.94,0.0,0.0,3.44,5.84,S0008884601005798_2_1_1_0_Comp-1,S0008884601005798_2,[],97.81
23.57,10.73,5.24,49.82,0.0,0.0,3.46,5.4,S0008884601005798_2_2_1_0_Comp-2,S0008884601005798_2,[],98.22
24.19,11.01,5.37,48.62,0.0,0.0,3.5,4.97,S0008884601005798_2_3_1_0_Comp-3,S0008884601005798_2,[],97.66
24.74,11.3,5.51,47.97,0.0,0.0,3.53,4.53,S0008884601005798_2_4_1_0_Comp-4,S0008884601005798_2,[],97.58
21.0,5.9,3.4,64.7,0.0,0.0,0.9,2.6,S0008884601005816_0_1_1_0_Cement,S0008884601005816_0,[],98.5
53.2,43.9,0.38,0.02,0.17,0.1,0.05,0.0,S0008884601005816_0_1_2_0_MK,S0008884601005816_0,[1],97.81999999999998
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,S0008884601005816_0_1_3_0_SF,S0008884601005816_0,[3],85.3
56.8,28.2,5.3,3.0,0.0,0.0,5.2,0.68,S0008884601005816_0_1_4_0_FA,S0008884601005816_0,[0],99.18
19.8,5.8,2.3,65.1,0.6,0.7,2.1,2.6,S0008884601005877_0_2_1_0_OPC,S0008884601005877_0,[],99.0
20.25,5.04,2.4,64.8,0.06,0.5,1.83,3.1,S000888460100597X_0_1_0_0,S000888460100597X_0,[],97.98
21.0,5.0,3.0,64.0,0.6,0.0,2.0,0.0,S0008884601006019_1_1_1_0_CEM I 52.5 R (Portland) Blaine ~530 m2/kg,S0008884601006019_1,[],95.6
30.0,10.0,1.5,46.0,0.5,0.0,8.0,0.0,S0008884601006019_1_1_2_0_CEM III/B 42.5 LH HS (BFS cement) Blaine ~490 m2/kg,S0008884601006019_1,[2],96.0
19.68,5.38,3.42,63.5,0.0,0.88,1.86,3.46,S0008884601006032_0_1_1_0,S0008884601006032_0,[],98.17999999999998
12.31,3.67,2.72,39.13,0.0,0.0,0.68,0.0,S0008884601006226_0_1_2_0,S0008884601006226_0,[],58.51
20.44,6.09,4.52,64.98,0.0,0.0,1.13,0.0,S0008884601006226_0_2_2_0,S0008884601006226_0,[],97.16
20.44,6.09,4.52,64.98,0.0,0.0,1.13,0.0,S0008884601006226_1_1_1_0_1,S0008884601006226_1,[],97.16
20.23,6.03,5.46,64.34,0.0,0.0,1.12,0.0,S0008884601006226_1_2_1_0_2,S0008884601006226_1,[],97.18
20.04,5.97,6.39,63.71,0.0,0.0,1.11,0.0,S0008884601006226_1_3_1_0_3,S0008884601006226_1,[],97.22
19.84,5.91,7.3,63.09,0.0,0.0,1.1,0.0,S0008884601006226_1_4_1_0_4,S0008884601006226_1,[],97.24
21.1,6.5,0.0,62.5,0.0,0.0,0.0,2.2,S0008884601006238_1_1_3_0_Cement,S0008884601006238_1,[],92.3
